x position        y position        field value
    0.51        0.51        9.37317
    0.52        0.51        9.37352
    0.53        0.51        9.37414
    0.54        0.51        9.37514
    0.55        0.51        9.37655
    0.56        0.51        9.37841
    0.57        0.51        9.3807
    0.58        0.51        9.38344
    0.59        0.51        9.38663
    0.6        0.51        9.39028
    0.61        0.51        9.39438
    0.62        0.51        9.39895
    0.63        0.51        9.40399
    0.64        0.51        9.4095
    0.65        0.51        9.41549
    0.66        0.51        9.42196
    0.67        0.51        9.42892
    0.68        0.51        9.43638
    0.69        0.51        9.44433
    0.7        0.51        9.4528
    0.71        0.51        9.46178
    0.72        0.51        9.47128
    0.73        0.51        9.48131
    0.74        0.51        9.49189
    0.75        0.51        9.503
    0.76        0.51        9.51467
    0.77        0.51        9.52691
    0.78        0.51        9.53972
    0.79        0.51        9.55311
    0.8        0.51        9.56709
    0.81        0.51        9.58167
    0.82        0.51        9.59687
    0.83        0.51        9.61269
    0.84        0.51        9.62914
    0.85        0.51        9.64623
    0.86        0.51        9.66398
    0.87        0.51        9.6824
    0.88        0.51        9.70149
    0.89        0.51        9.72126
    0.9        0.51        9.74174
    0.91        0.51        9.76292
    0.92        0.51        9.78481
    0.93        0.51        9.80743
    0.94        0.51        9.83079
    0.95        0.51        9.85487
    0.96        0.51        9.8797
    0.97        0.51        9.90526
    0.98        0.51        9.93153
    0.99        0.51        9.95843
    1        0.51        9.98595
    0.51        0.52        9.37357
    0.52        0.52        9.37406
    0.53        0.52        9.3748
    0.54        0.52        9.37576
    0.55        0.52        9.37715
    0.56        0.52        9.37897
    0.57        0.52        9.38125
    0.58        0.52        9.38396
    0.59        0.52        9.38713
    0.6        0.52        9.39076
    0.61        0.52        9.39484
    0.62        0.52        9.39939
    0.63        0.52        9.4044
    0.64        0.52        9.40989
    0.65        0.52        9.41585
    0.66        0.52        9.4223
    0.67        0.52        9.42924
    0.68        0.52        9.43667
    0.69        0.52        9.4446
    0.7        0.52        9.45304
    0.71        0.52        9.462
    0.72        0.52        9.47148
    0.73        0.52        9.48148
    0.74        0.52        9.49203
    0.75        0.52        9.50312
    0.76        0.52        9.51476
    0.77        0.52        9.52697
    0.78        0.52        9.53975
    0.79        0.52        9.55311
    0.8        0.52        9.56707
    0.81        0.52        9.58162
    0.82        0.52        9.59679
    0.83        0.52        9.61258
    0.84        0.52        9.629
    0.85        0.52        9.64607
    0.86        0.52        9.66378
    0.87        0.52        9.68217
    0.88        0.52        9.70123
    0.89        0.52        9.72098
    0.9        0.52        9.74142
    0.91        0.52        9.76257
    0.92        0.52        9.78444
    0.93        0.52        9.80703
    0.94        0.52        9.83035
    0.95        0.52        9.85442
